鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
五股區,房地(土地+建物)+車位,新北市五股區成洲五路３８號八樓,20.45,住,,,1101111,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040903,137.76999999999998,2,1,1,有,有,12000000,87102,坡道平面,35.05,0,,RPRTMLQKJIGGFBF28DA,59.68,11.28,0.0,有,0013
五股區,房地(土地+建物)+車位,新北市五股區工商路１６２號九樓,21.73,住,,,1101113,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861212,152.48,3,2,2,有,有,10000000,65582,坡道平面,0.0,0,陽台外推；,RPTQMLSKJIGGFBF38DA,81.77,9.69,0.0,有,
五股區,房地(土地+建物)+車位,新北市五股區工商路１６４號九樓,21.73,住,,,1101113,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861212,152.48,3,2,2,有,有,10000000,65582,坡道平面,0.0,0,陽台外推；,RPURMLSKJIGGFBF58DA,81.77,9.69,0.0,有,
新莊區,房地(土地+建物)+車位,新北市新莊區中德路４７號七樓,12.37,商,,,1081110,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1100812,128.57999999999998,0,0,0,無,有,13010000,116508,坡道平面,36.14,2240000,預售屋、或土地及建物分件登記案件；,RPWRMLTKJIGGFBF88DA,51.86,9.11,0.0,有,
新莊區,房地(土地+建物),新北市新莊區天祥街４７巷１６弄８號三樓,35.51,住,,,1101115,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691205,84.35,2,2,2,有,無,8550000,101363,,0.0,0,陽台外推；,RPOQMLMLJIGGFBF37DA,84.35,0.0,0.0,無,0014
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段１８１號四樓,12.43,都市：其他:市場用地,,,1101117,土地3建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941226,168.79,4,2,2,有,有,15000000,88868,坡道平面,27.13,0,陽台外推；,RPPNMLSLJIGGFBF77DA,89.55,14.14,0.0,有,
泰山區,房地(土地+建物),新北市泰山區忠孝街１９巷３弄３２號三樓,20.24,住,,,1101028,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091223,67.71000000000001,2,1,1,有,有,7100000,104859,,0.0,0,管委會籌組中,RPWOMLSLJIGGFBF58DA,38.22,9.88,0.0,有,
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段１９５號四樓,22.6,住,,,1101012,土地1建物1車位2,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100412,226.82999999999998,3,2,2,有,有,25400000,125335,坡道平面,51.3,3400000,,RPOPMLSLJIGGFBF87DA,94.15,21.47,0.0,有,
新莊區,房地(土地+建物)+車位,新北市新莊區建安街２５巷１０號二樓,28.08,住,,,1101023,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860718,178.04000000000002,4,2,2,有,有,17200000,104987,坡道平面,33.26,2000000,其他增建；,RPSTMLOLJIGGFBF28DA,97.52,11.59,0.0,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新泰路２２５巷６號三樓,21.49,住,,,1101016,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831221,176.64,3,2,2,有,有,18500000,104733,坡道平面,0.0,2200000,陽台外推；其他增建；,RPOOMLLJKIGGFBF96DA,130.27,36.14,0.0,有,0015
